339.59	0.00
339.97	28.00
340.35	28.00
340.73	26.00
341.12	31.00
341.50	47.00
341.88	37.00
342.26	43.00
342.65	42.00
343.03	36.00
343.41	40.00
343.79	35.00
344.17	33.00
344.55	75.00
344.94	42.00
345.32	31.00
345.70	36.00
346.08	34.00
346.46	40.00
346.84	41.00
347.23	44.00
347.61	40.00
347.99	32.00
348.37	64.00
348.75	42.00
349.13	44.00
349.51	37.00
349.90	38.00
350.28	40.00
350.66	35.00
351.04	44.00
351.42	50.00
351.80	32.00
352.18	32.00
352.56	27.00
352.94	27.00
353.32	41.00
353.71	27.00
354.09	39.00
354.47	44.00
354.85	44.00
355.23	34.00
355.61	32.00
355.99	35.00
356.37	33.00
356.75	49.00
357.13	43.00
357.51	38.00
357.89	41.00
358.27	39.00
358.65	44.00
359.03	38.00
359.41	35.00
359.79	37.00
360.17	46.00
360.55	43.00
360.93	37.00
361.31	55.00
361.69	37.00
362.07	31.00
362.45	44.00
362.83	55.00
363.21	51.00
363.59	45.00
363.97	67.00
364.35	32.00
364.73	38.00
365.11	50.00
365.49	36.00
365.87	29.00
366.25	37.00
366.63	42.00
367.01	37.00
367.39	39.00
367.77	67.00
368.14	32.00
368.52	32.00
368.90	39.00
369.28	32.00
369.66	56.00
370.04	37.00
370.42	35.00
370.80	44.00
371.18	36.00
371.56	45.00
371.93	33.00
372.31	40.00
372.69	32.00
373.07	42.00
373.45	38.00
373.83	27.00
374.21	38.00
374.58	40.00
374.96	44.00
375.34	37.00
375.72	29.00
376.10	28.00
376.48	35.00
376.85	36.00
377.23	35.00
377.61	38.00
377.99	33.00
378.37	43.00
378.75	48.00
379.12	36.00
379.50	36.00
379.88	38.00
380.26	34.00
380.63	37.00
381.01	56.00
381.39	40.00
381.77	42.00
382.15	36.00
382.52	39.00
382.90	38.00
383.28	43.00
383.66	37.00
384.03	45.00
384.41	49.00
384.79	48.00
385.17	48.00
385.54	41.00
385.92	40.00
386.30	48.00
386.67	38.00
387.05	50.00
387.43	46.00
387.81	48.00
388.18	51.00
388.56	45.00
388.94	40.00
389.31	38.00
389.69	64.00
390.07	47.00
390.44	45.00
390.82	49.00
391.20	61.00
391.57	52.00
391.95	71.00
392.33	56.00
392.70	52.00
393.08	51.00
393.46	58.00
393.83	59.00
394.21	58.00
394.58	49.00
394.96	52.00
395.34	54.00
395.71	73.00
396.09	53.00
396.47	53.00
396.84	53.00
397.22	65.00
397.59	66.00
397.97	70.00
398.35	71.00
398.72	73.00
399.10	81.00
399.47	86.00
399.85	78.00
400.22	94.00
400.60	88.00
400.97	99.00
401.35	102.00
401.73	111.00
402.10	98.00
402.48	103.00
402.85	97.00
403.23	99.00
403.60	106.00
403.98	108.00
404.35	109.00
404.73	111.00
405.10	107.00
405.48	121.00
405.85	115.00
406.23	113.00
406.60	120.00
406.98	110.00
407.35	121.00
407.73	135.00
408.10	149.00
408.48	145.00
408.85	148.00
409.23	133.00
409.60	143.00
409.98	143.00
410.35	151.00
410.72	143.00
411.10	154.00
411.47	165.00
411.85	177.00
412.22	168.00
412.60	176.00
412.97	179.00
413.34	180.00
413.72	180.00
414.09	181.00
414.47	182.00
414.84	175.00
415.21	183.00
415.59	185.00
415.96	184.00
416.34	195.00
416.71	186.00
417.08	188.00
417.46	196.00
417.83	199.00
418.20	197.00
418.58	219.00
418.95	207.00
419.32	210.00
419.70	210.00
420.07	232.00
420.44	236.00
420.82	238.00
421.19	232.00
421.56	256.00
421.94	241.00
422.31	241.00
422.68	238.00
423.06	243.00
423.43	247.00
423.80	257.00
424.18	271.00
424.55	257.00
424.92	268.00
425.29	281.00
425.67	280.00
426.04	280.00
426.41	292.00
426.78	297.00
427.16	308.00
427.53	308.00
427.90	307.00
428.27	321.00
428.65	336.00
429.02	333.00
429.39	319.00
429.76	327.00
430.14	343.00
430.51	389.00
430.88	365.00
431.25	387.00
431.62	392.00
432.00	418.00
432.37	431.00
432.74	469.00
433.11	474.00
433.48	454.00
433.86	486.00
434.23	497.00
434.60	528.00
434.97	540.00
435.34	547.00
435.71	584.00
436.09	605.00
436.46	598.00
436.83	648.00
437.20	642.00
437.57	656.00
437.94	699.00
438.31	711.00
438.68	719.00
439.06	762.00
439.43	775.00
439.80	807.00
440.17	830.00
440.54	879.00
440.91	895.00
441.28	916.00
441.65	921.00
442.02	950.00
442.39	1006.00
442.77	1025.00
443.14	1068.00
443.51	1115.00
443.88	1161.00
