467.87	1072.00
468.24	1057.00
468.61	1043.00
468.98	1034.00
469.35	1024.00
469.71	1024.00
470.08	1013.00
470.45	999.00
470.82	963.00
471.18	957.00
471.55	952.00
471.92	963.00
472.28	946.00
472.65	965.00
473.02	933.00
473.39	915.00
473.75	898.00
474.12	919.00
474.49	891.00
474.85	890.00
475.22	892.00
475.59	891.00
475.95	869.00
476.32	888.00
476.69	861.00
477.05	878.00
477.42	872.00
477.79	858.00
478.15	885.00
478.52	862.00
478.89	892.00
479.25	877.00
479.62	886.00
479.99	902.00
480.35	907.00
480.72	908.00
481.09	917.00
481.45	908.00
481.82	927.00
482.18	930.00
482.55	955.00
482.92	964.00
483.28	951.00
483.65	966.00
484.01	974.00
484.38	976.00
484.75	982.00
485.11	964.00
485.48	992.00
485.84	1014.00
486.21	1015.00
486.57	1015.00
486.94	1024.00
487.30	1045.00
487.67	1057.00
488.04	1072.00
488.40	1106.00
488.77	1118.00
489.13	1147.00
489.50	1153.00
489.86	1164.00
490.23	1190.00
490.59	1184.00
490.96	1223.00
491.32	1247.00
491.69	1243.00
492.05	1281.00
492.42	1273.00
492.78	1301.00
493.15	1316.00
493.51	1364.00
493.88	1377.00
494.24	1369.00
494.60	1395.00
494.97	1417.00
495.33	1444.00
495.70	1453.00
496.06	1476.00
496.43	1506.00
496.79	1500.00
497.16	1540.00
497.52	1531.00
497.88	1561.00
498.25	1577.00
498.61	1615.00
498.98	1594.00
499.34	1614.00
499.70	1645.00
500.07	1667.00
500.43	1689.00
500.80	1717.00
501.16	1696.00
501.52	1741.00
501.89	1723.00
502.25	1748.00
502.61	1750.00
502.98	1800.00
503.34	1787.00
503.70	1815.00
504.07	1832.00
504.43	1854.00
504.79	1835.00
505.16	1871.00
505.52	1888.00
505.88	1900.00
506.25	1915.00
506.61	1919.00
506.97	1954.00
507.34	1960.00
507.70	1948.00
508.06	1974.00
508.43	1959.00
508.79	1943.00
509.15	1983.00
509.51	1971.00
509.88	1986.00
510.24	1998.00
510.60	2003.00
510.96	2009.00
511.33	2028.00
511.69	2034.00
512.05	2033.00
512.41	2040.00
512.78	2015.00
513.14	2024.00
513.50	2058.00
513.86	2030.00
514.23	2055.00
514.59	2036.00
514.95	2040.00
515.31	2062.00
515.67	2043.00
516.04	2050.00
516.40	2090.00
516.76	2043.00
517.12	2034.00
517.48	2020.00
517.85	2102.00
518.21	2097.00
518.57	2067.00
518.93	2107.00
519.29	2166.00
519.65	2135.00
520.01	2148.00
520.38	2171.00
520.74	2167.00
521.10	2145.00
521.46	2178.00
521.82	2200.00
522.18	2198.00
522.54	2187.00
522.90	2187.00
523.27	2191.00
523.63	2227.00
523.99	2229.00
524.35	2271.00
524.71	2256.00
525.07	2245.00
525.43	2249.00
525.79	2245.00
526.15	2276.00
526.51	2287.00
526.87	2293.00
527.23	2312.00
527.60	2346.00
527.96	2322.00
528.32	2363.00
528.68	2333.00
529.04	2362.00
529.40	2388.00
529.76	2419.00
530.12	2459.00
530.48	2423.00
530.84	2433.00
531.20	2468.00
531.56	2496.00
531.92	2485.00
532.28	2487.00
532.64	2506.00
533.00	2518.00
533.36	2509.00
533.72	2541.00
534.08	2569.00
534.44	2588.00
534.80	2572.00
535.16	2609.00
535.52	2610.00
535.87	2646.00
536.23	2688.00
536.59	2668.00
536.95	2699.00
537.31	2707.00
537.67	2707.00
538.03	2717.00
538.39	2749.00
538.75	2723.00
539.11	2767.00
539.47	2770.00
539.83	2772.00
540.19	2811.00
540.54	2804.00
540.90	2806.00
541.26	2826.00
541.62	2843.00
541.98	2833.00
542.34	2870.00
542.70	2889.00
543.06	2904.00
543.41	2907.00
543.77	2867.00
544.13	2938.00
544.49	2908.00
544.85	2931.00
545.21	2954.00
545.56	2961.00
545.92	2950.00
546.28	2990.00
546.64	3003.00
547.00	2974.00
547.35	3001.00
547.71	2994.00
548.07	3006.00
548.43	2994.00
548.79	3009.00
549.14	3033.00
549.50	3050.00
549.86	3028.00
550.22	3022.00
550.58	3011.00
550.93	3038.00
551.29	3039.00
551.65	3044.00
552.01	3071.00
552.36	3043.00
552.72	3019.00
553.08	3022.00
553.43	3021.00
553.79	3075.00
554.15	3030.00
554.51	3020.00
554.86	3052.00
555.22	3028.00
555.58	3025.00
555.93	3043.00
556.29	3031.00
556.65	3039.00
557.01	3013.00
557.36	3054.00
557.72	3031.00
558.08	3011.00
558.43	3002.00
558.79	3019.00
559.15	3018.00
559.50	3004.00
559.86	2991.00
560.21	3026.00
560.57	3002.00
560.93	2995.00
561.28	3012.00
561.64	3042.00
562.00	3006.00
562.35	2997.00
562.71	3030.00
563.06	3049.00
563.42	3012.00
563.78	3001.00
564.13	3019.00
564.49	2996.00
564.84	3037.00
565.20	3027.00
565.56	2996.00
565.91	3027.00
566.27	3042.00
566.62	3059.00
566.98	3015.00
567.33	3050.00
567.69	3065.00
568.04	3054.00
568.40	3074.00
568.75	3061.00
569.11	3077.00
569.47	3081.00
569.82	3093.00
570.18	3053.00
570.53	3102.00
